,Timestamp,ID,Paste your results here.
0,4/15/2022 4:43:45,73,"researchdle 6/6 80.604
5 flask
⬛⬛🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩🟩⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
1,4/15/2022 14:31:47,71,"researchdle 5/6 29.095
5 stark
🟩⬛⬛🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛"
2,4/15/2022 15:51:50,73,"researchdle 6/6 64.68
4 burn
⬛🟨⬛⬛
🟨⬛⬛⬛
⬛🟩🟩⬛
⬛🟩🟩⬛
⬛🟩🟩🟩
🟩🟩🟩🟩"
3,4/15/2022 15:55:34,73,"researchdle 4/6 182.916
7 uterine
🟨🟨⬛⬛🟩🟩⬛
⬛🟨🟨⬛🟩🟩⬛
🟨🟨🟨⬛🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩"
4,4/15/2022 17:15:24,71,"researchdle 3/6 19.703
4 rind
⬛⬛⬛⬛
🟩🟩🟨⬛
🟩🟩🟩🟩"
5,4/15/2022 17:45:17,73,"researchdle 6/6 139.647
7 combine
⬛⬛⬛🟨🟨⬛⬛
🟩⬛🟨⬛⬛⬛⬛
🟩🟨🟨⬛🟨⬛⬛
🟩🟩🟩⬛⬛🟩⬛
🟩🟩🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩🟩🟩"
6,4/15/2022 17:47:53,73,"researchdle 5/6 126.507
6 debris
⬛🟨⬛⬛⬛🟩
🟨⬛🟨🟨⬛⬛
🟩🟨🟨⬛⬛🟩
🟩🟨⬛🟨🟨🟩
🟩🟩🟩🟩🟩🟩"
7,4/15/2022 17:50:58,73,"researchdle 6/6 170.091
7 recital
⬛🟨🟨⬛⬛🟨⬛
🟨🟨⬛⬛⬛⬛⬛
⬛🟨🟨⬛🟨🟨⬛
🟩🟩⬛🟨🟨🟨🟨
🟩🟩🟩🟨🟨🟨⬛
🟩🟩🟩🟩🟩🟩🟩"
8,4/15/2022 17:53:14,73,"researchdle 3/6 117.941
6 dollar
⬛🟨🟨⬛⬛⬛
⬛🟨🟨⬛⬛🟩
🟩🟩🟩🟩🟩🟩"
9,4/15/2022 17:57:14,73,"researchdle X/6 187.219
6 accent
⬛⬛🟨🟨🟨⬛
🟨⬛🟨🟨🟨⬛
⬛🟨🟨⬛🟨⬛
⬛⬛⬛🟨🟨⬛
🟨🟨🟨⬛🟨⬛
🟩🟩🟨⬛🟩⬛"
